,Date,Year,Month,Day,MAX_val,MAX_name
0,2013-01-01,2013,01,01,88.79825396825397,PM10
1,2013-01-02,2013,01,02,51.037936507936514,PM10
2,2013-01-03,2013,01,03,82.94690476190478,PM10
3,2013-01-04,2013,01,04,206.71404761904762,PM25
4,2013-01-05,2013,01,05,249.20209750566895,PM25
5,2013-01-06,2013,01,06,335.7805725623584,PM25
6,2013-01-07,2013,01,07,372.7025831443689,PM25
7,2013-01-08,2013,01,08,386.5788681027967,PM25
8,2013-01-09,2013,01,09,226.04001133786846,PM25
9,2013-01-10,2013,01,10,321.6356746031745,PM25
10,2013-01-11,2013,01,11,135.18435563114133,PM25
11,2013-01-12,2013,01,12,161.14625850340136,PM25
12,2013-01-13,2013,01,13,396.1875963718821,PM25
13,2013-01-14,2013,01,14,320.91769841269837,PM10
14,2013-01-15,2013,01,15,224.0427324263038,PM25
15,2013-01-16,2013,01,16,305.97761904761904,PM25
16,2013-01-17,2013,01,17,229.41803287981858,PM10
17,2013-01-18,2013,01,18,261.2949470899471,PM25
18,2013-01-19,2013,01,19,361.3820786092215,PM25
19,2013-01-20,2013,01,20,177.27549886621318,PM25
20,2013-01-21,2013,01,21,247.47448979591834,PM25
21,2013-01-22,2013,01,22,320.1065929705216,PM10
22,2013-01-23,2013,01,23,231.15133786848074,PM10
23,2013-01-24,2013,01,24,225.2979648526077,PM10
24,2013-01-25,2013,01,25,167.64325396825396,PM25
25,2013-01-26,2013,01,26,185.78234126984128,PM25
26,2013-01-27,2013,01,27,288.0330668934241,PM25
27,2013-01-28,2013,01,28,241.38197278911568,PM25
28,2013-01-29,2013,01,29,265.74704648526074,PM25
29,2013-01-30,2013,01,30,317.3525566893424,PM10
30,2013-01-31,2013,01,31,170.50304988662134,PM25
31,2013-02-01,2013,02,01,149.09886621315192,PM25
32,2013-02-02,2013,02,02,105.47910997732427,PM25
33,2013-02-03,2013,02,03,225.64818027210882,PM25
34,2013-02-04,2013,02,04,162.90980158730162,PM25
35,2013-02-05,2013,02,05,168.75674036281183,PM25
36,2013-02-06,2013,02,06,229.80407596371882,PM25
37,2013-02-07,2013,02,07,69.25714285714285,PM25
38,2013-02-08,2013,02,08,116.42922335600908,PM25
39,2013-02-09,2013,02,09,221.18387188208615,PM25
40,2013-02-10,2013,02,10,309.22793650793653,PM25
41,2013-02-11,2013,02,11,141.90920068027214,PM25
42,2013-02-12,2013,02,12,117.98475623582766,PM25
43,2013-02-13,2013,02,13,178.83579365079365,PM25
44,2013-02-14,2013,02,14,175.57500000000005,PM25
45,2013-02-15,2013,02,15,109.82596371882086,PM25
46,2013-02-16,2013,02,16,230.57971088435374,PM25
47,2013-02-17,2013,02,17,256.6101700680273,PM25
48,2013-02-18,2013,02,18,135.20684240362812,PM25
49,2013-02-19,2013,02,19,133.50130385487532,PM25
50,2013-02-20,2013,02,20,210.8280328798186,PM25
51,2013-02-21,2013,02,21,301.8073790627362,PM25
52,2013-02-22,2013,02,22,244.95677626606198,PM25
53,2013-02-23,2013,02,23,235.13623015873014,PM25
54,2013-02-24,2013,02,24,377.199947089947,PM25
55,2013-02-25,2013,02,25,211.74104308390022,PM25
56,2013-02-26,2013,02,26,231.94387188208614,PM25
57,2013-02-27,2013,02,27,321.10252456538177,PM25
58,2013-02-28,2013,02,28,307.12157596371884,PM25
59,2013-03-01,2013,03,01,60.343412698412685,PM10
60,2013-03-02,2013,03,02,129.5522222222222,PM10
61,2013-03-03,2013,03,03,159.75405328798186,PM10
62,2013-03-04,2013,03,04,100.6547619047619,PM10
63,2013-03-05,2013,03,05,178.11450680272114,PM10
64,2013-03-06,2013,03,06,248.66907596371885,PM10
65,2013-03-07,2013,03,07,225.80060657596368,PM10
66,2013-03-08,2013,03,08,273.0738945578231,PM10
67,2013-03-09,2013,03,09,219.24591836734692,PM10
68,2013-03-10,2013,03,10,85.83285714285715,PM10
69,2013-03-11,2013,03,11,142.02246031746031,PM10
70,2013-03-12,2013,03,12,126.3279761904762,PM25
71,2013-03-13,2013,03,13,120.62888321995463,PM25
72,2013-03-14,2013,03,14,132.6073696145125,PM25
73,2013-03-15,2013,03,15,191.829246031746,PM25
74,2013-03-16,2013,03,16,265.8986621315193,PM25
75,2013-03-17,2013,03,17,224.3879875283447,PM25
76,2013-03-18,2013,03,18,177.4758049886621,PM10
77,2013-03-19,2013,03,19,94.17087301587303,PM10
78,2013-03-20,2013,03,20,73.9031746031746,PM25
79,2013-03-21,2013,03,21,184.89560657596368,PM25
80,2013-03-22,2013,03,22,140.91150793650792,PM10
81,2013-03-23,2013,03,23,148.40482993197278,PM10
82,2013-03-24,2013,03,24,84.80674603174603,PM10
83,2013-03-25,2013,03,25,131.1954761904762,PM10
84,2013-03-26,2013,03,26,165.0998979591837,PM10
85,2013-03-27,2013,03,27,184.60389455782314,PM25
86,2013-03-28,2013,03,28,91.92,PM10
87,2013-03-29,2013,03,29,115.57214285714285,PM10
88,2013-03-30,2013,03,30,123.11043083900226,PM25
89,2013-03-31,2013,03,31,230.9770634920635,PM10
90,2013-04-01,2013,04,01,147.20340136054423,PM10
91,2013-04-02,2013,04,02,133.5765759637188,PM10
92,2013-04-03,2013,04,03,192.14225623582766,PM10
93,2013-04-04,2013,04,04,101.88801587301589,PM10
94,2013-04-05,2013,04,05,98.0003401360544,PM25
95,2013-04-06,2013,04,06,46.159206349206336,PM10
96,2013-04-07,2013,04,07,124.64261904761905,PM10
97,2013-04-08,2013,04,08,125.74691609977324,PM10
98,2013-04-09,2013,04,09,56.95373015873016,PM10
99,2013-04-10,2013,04,10,45.5536507936508,PM10
100,2013-04-11,2013,04,11,60.17452380952381,PM10
101,2013-04-12,2013,04,12,107.86404761904762,PM10
102,2013-04-13,2013,04,13,112.87841269841272,PM10
103,2013-04-14,2013,04,14,105.2483333333333,PM10
104,2013-04-15,2013,04,15,144.3629365079365,PM10
105,2013-04-16,2013,04,16,123.4081746031746,PM10
106,2013-04-17,2013,04,17,92.40412698412699,PM10
107,2013-04-18,2013,04,18,77.0292857142857,PM10
108,2013-04-19,2013,04,19,53.90714285714286,PM10
109,2013-04-20,2013,04,20,78.67761904761907,PM10
110,2013-04-21,2013,04,21,142.50663265306122,PM25
111,2013-04-22,2013,04,22,174.70649092970524,PM25
112,2013-04-23,2013,04,23,176.86394557823127,PM25
113,2013-04-24,2013,04,24,116.43091836734695,PM25
114,2013-04-25,2013,04,25,75.21222222222225,PM10
115,2013-04-26,2013,04,26,135.99809523809526,PM10
116,2013-04-27,2013,04,27,137.0497619047619,PM10
117,2013-04-28,2013,04,28,148.42338435374145,PM25
118,2013-04-29,2013,04,29,130.64479591836735,PM10
119,2013-04-30,2013,04,30,119.98420634920633,PM10
120,2013-05-01,2013,05,01,106.36857142857143,PM10
121,2013-05-02,2013,05,02,119.89455782312925,PM25
122,2013-05-03,2013,05,03,133.21502267573698,PM25
123,2013-05-04,2013,05,04,131.46941609977327,PM25
124,2013-05-05,2013,05,05,179.9436394557823,PM25
125,2013-05-06,2013,05,06,183.3292120181406,PM25
126,2013-05-07,2013,05,07,148.96225623582768,PM25
127,2013-05-08,2013,05,08,132.6405045351474,PM25
128,2013-05-09,2013,05,09,117.27046485260773,PM25
129,2013-05-10,2013,05,10,90.60611111111113,PM10
130,2013-05-11,2013,05,11,112.10206349206351,PM10
131,2013-05-12,2013,05,12,135.27539682539685,PM10
132,2013-05-13,2013,05,13,134.36452380952377,PM10
133,2013-05-14,2013,05,14,139.50205215419504,PM10
134,2013-05-15,2013,05,15,130.93222222222224,PM10
135,2013-05-16,2013,05,16,85.56865079365082,PM10
136,2013-05-17,2013,05,17,127.77015873015871,PM10
137,2013-05-18,2013,05,18,109.25853174603175,PM25
138,2013-05-19,2013,05,19,131.30837868480725,PM10
139,2013-05-20,2013,05,20,132.4634580498866,PM10
140,2013-05-21,2013,05,21,165.89616780045355,PM10
141,2013-05-22,2013,05,22,131.72896825396825,PM10
142,2013-05-23,2013,05,23,128.474126984127,PM10
