,Date,AQI,Type,rh,temp,psfc
0,2014-01-01,51.0646921182266,PM25,71.49089655172413,283.7407586206897,85.3797492413793
1,2014-01-02,50.73103448275862,CO,56.3031724137931,286.7636551724138,85.15431103448277
2,2014-01-03,32.67703448275862,O3,49.25751724137931,285.28151724137933,85.27258634482757
3,2014-01-04,71.23866995073891,PM25,83.6003448275862,281.86475862068966,85.43836448275863
4,2014-01-05,64.82198275862069,PM25,88.31979310344828,282.20344827586206,85.17816820689656
5,2014-01-06,39.58075123152709,PM25,78.036,285.3748275862069,84.99309586206897
6,2014-01-07,35.454344827586205,O3,62.61255172413793,286.1957931034483,85.09877262068964
7,2014-01-08,45.90285714285715,PM25,72.39558620689655,283.6437931034483,85.42408062068967
8,2014-01-09,66.68252463054188,PM25,91.03013793103447,280.2544827586207,85.52704227586206
9,2014-01-10,62.23560344827587,PM25,90.61827586206897,281.5835172413793,85.52220689655172
10,2014-01-11,58.64711822660098,PM25,88.79068965517243,283.4952413793103,85.62819627586208
11,2014-01-12,67.93706896551724,PM25,93.21703448275863,280.4472413793104,85.72300172413793
12,2014-01-13,56.738509852216744,PM25,87.50793103448277,277.5007586206897,85.7523279310345
13,2014-01-14,82.18577586206897,PM25,70.16406896551723,279.26613793103445,85.6417891724138
14,2014-01-15,57.10406403940887,PM25,75.09041379310345,279.9616551724138,85.60673986206898
15,2014-01-16,49.38044334975369,PM25,79.85303448275862,281.47020689655176,85.5593195862069
16,2014-01-17,55.308103448275865,PM25,81.97931034482758,281.31765517241377,85.75488937931036
17,2014-01-18,77.36025862068965,PM25,72.40937931034483,280.7331724137931,86.01137200000001
18,2014-01-19,86.66224137931036,PM25,66.47806896551724,281.37600000000003,85.80936855172413
19,2014-01-20,66.11931034482758,PM25,71.30172413793103,279.5448275862069,85.89789627586207
20,2014-01-21,76.52724137931034,PM25,60.334413793103444,279.10068965517246,85.92868551724138
21,2014-01-22,56.92676108374385,PM25,49.66937931034483,279.6171034482758,85.78589806896551
22,2014-01-23,49.62980295566503,PM25,53.39068965517241,282.4407586206897,85.41585696551725
23,2014-01-24,55.47931034482759,CO,52.34262068965518,286.5662068965517,85.0804164137931
24,2014-01-25,46.34814039408868,PM25,63.686137931034494,285.8471724137931,85.22745055172413
25,2014-01-26,46.67320197044335,PM25,82.19703448275862,284.184275862069,85.41134296551725
26,2014-01-27,45.8757512315271,PM25,83.88275862068964,284.22868965517245,85.42909289655171
27,2014-01-28,37.72584975369458,PM25,75.01337931034482,285.9714482758621,85.3380251724138
28,2014-01-29,39.8809236453202,PM25,74.06489655172413,285.70468965517244,85.44237206896553
29,2014-01-30,38.76896551724138,PM25,69.04268965517242,286.26972413793106,85.5090496551724
30,2014-01-31,40.586798029556654,PM25,60.16931034482758,287.6797931034483,85.38338710344829
31,2014-02-01,37.62272413793104,O3,36.8988275862069,289.42220689655176,85.21931993103449
32,2014-02-02,35.10713793103448,O3,24.566896551724138,289.37524137931035,84.97833282758621
33,2014-02-03,37.97755172413794,O3,28.33303448275862,288.386551724138,84.88659020689656
34,2014-02-04,39.75424137931034,O3,61.97124137931036,286.03793103448277,84.92154862068966
35,2014-02-05,44.18089655172413,O3,51.392620689655175,287.9973103448276,84.80560041379312
36,2014-02-06,42.614954022988506,O3,47.504344827586216,288.71634482758617,84.78386531034482
37,2014-02-07,38.852896551724136,O3,44.89337931034483,288.2051034482759,84.84254351724138
38,2014-02-08,39.50851724137931,O3,55.78310344827586,286.9308965517241,84.71532386206896
39,2014-02-09,38.237034482758624,O3,54.2676551724138,286.3050344827586,84.80815455172413
