,Date,Year,Month,Day,指数级别
0,20130101,2013,01,01,良
1,20130102,2013,01,02,良
2,20130103,2013,01,03,良
3,20130104,2013,01,04,良
4,20130105,2013,01,05,轻度污染
5,20130106,2013,01,06,中度污染
6,20130107,2013,01,07,中度污染
7,20130108,2013,01,08,重度污染
8,20130109,2013,01,09,重度污染
9,20130110,2013,01,10,轻度污染
10,20130111,2013,01,11,轻度污染
11,20130112,2013,01,12,重度污染
12,20130113,2013,01,13,重度污染
13,20130114,2013,01,14,中度污染
14,20130115,2013,01,15,重度污染
15,20130116,2013,01,16,重度污染
16,20130117,2013,01,17,良
17,20130118,2013,01,18,轻度污染
18,20130119,2013,01,19,中度污染
19,20130120,2013,01,20,轻度污染
20,20130121,2013,01,21,轻度污染
21,20130122,2013,01,22,中度污染
22,20130123,2013,01,23,中度污染
23,20130124,2013,01,24,重度污染
24,20130125,2013,01,25,中度污染
25,20130126,2013,01,26,重度污染
26,20130127,2013,01,27,轻度污染
27,20130128,2013,01,28,中度污染
28,20130129,2013,01,29,中度污染
29,20130130,2013,01,30,重度污染
30,20130131,2013,01,31,轻度污染
31,20130201,2013,02,01,轻度污染
32,20130202,2013,02,02,良
33,20130203,2013,02,03,良
34,20130204,2013,02,04,良
35,20130205,2013,02,05,优
36,20130206,2013,02,06,良
37,20130207,2013,02,07,轻度污染
38,20130208,2013,02,08,优
39,20130209,2013,02,09,良
40,20130210,2013,02,10,中度污染
41,20130211,2013,02,11,轻度污染
42,20130212,2013,02,12,良
43,20130213,2013,02,13,轻度污染
44,20130214,2013,02,14,中度污染
45,20130215,2013,02,15,轻度污染
46,20130216,2013,02,16,轻度污染
47,20130217,2013,02,17,良
48,20130218,2013,02,18,良
49,20130219,2013,02,19,优
50,20130220,2013,02,20,良
51,20130221,2013,02,21,轻度污染
52,20130222,2013,02,22,轻度污染
53,20130223,2013,02,23,重度污染
54,20130224,2013,02,24,中度污染
55,20130225,2013,02,25,轻度污染
56,20130226,2013,02,26,轻度污染
57,20130227,2013,02,27,轻度污染
58,20130228,2013,02,28,轻度污染
59,20130301,2013,03,01,良
60,20130302,2013,03,02,良
