,Date,Year,Month,Day,指数级别
0,20170101,2017,01,01,良
1,20170102,2017,01,02,优
2,20170103,2017,01,03,优
3,20170104,2017,01,04,良
4,20170105,2017,01,05,轻度污染
5,20170106,2017,01,06,轻度污染
6,20170107,2017,01,07,优
7,20170108,2017,01,08,优
8,20170109,2017,01,09,优
9,20170110,2017,01,10,优
10,20170111,2017,01,11,优
11,20170112,2017,01,12,优
12,20170113,2017,01,13,优
13,20170114,2017,01,14,优
14,20170115,2017,01,15,良
15,20170116,2017,01,16,轻度污染
16,20170117,2017,01,17,良
17,20170118,2017,01,18,优
18,20170119,2017,01,19,优
19,20170120,2017,01,20,优
20,20170121,2017,01,21,优
21,20170122,2017,01,22,优
22,20170123,2017,01,23,优
23,20170124,2017,01,24,优
24,20170125,2017,01,25,良
25,20170126,2017,01,26,良
26,20170127,2017,01,27,优
27,20170128,2017,01,28,重度污染
28,20170129,2017,01,29,优
29,20170130,2017,01,30,优
30,20170131,2017,01,31,优
31,20170201,2017,02,01,优
32,20170202,2017,02,02,良
33,20170203,2017,02,03,轻度污染
34,20170204,2017,02,04,良
35,20170205,2017,02,05,优
36,20170206,2017,02,06,优
37,20170207,2017,02,07,良
38,20170208,2017,02,08,优
39,20170209,2017,02,09,优
40,20170210,2017,02,10,优
41,20170211,2017,02,11,优
42,20170212,2017,02,12,优
43,20170213,2017,02,13,优
44,20170214,2017,02,14,良
45,20170215,2017,02,15,轻度污染
46,20170216,2017,02,16,优
47,20170217,2017,02,17,优
48,20170218,2017,02,18,优
49,20170219,2017,02,19,优
50,20170220,2017,02,20,优
51,20170221,2017,02,21,优
52,20170222,2017,02,22,优
53,20170223,2017,02,23,优
54,20170224,2017,02,24,优
55,20170225,2017,02,25,优
56,20170226,2017,02,26,优
57,20170227,2017,02,27,优
58,20170228,2017,02,28,优
59,20170301,2017,03,01,优
60,20170302,2017,03,02,优
61,20170303,2017,03,03,优
62,20170304,2017,03,04,优
63,20170305,2017,03,05,优
64,20170306,2017,03,06,优
65,20170307,2017,03,07,优
66,20170308,2017,03,08,优
67,20170309,2017,03,09,优
68,20170310,2017,03,10,优
69,20170311,2017,03,11,优
70,20170312,2017,03,12,优
71,20170313,2017,03,13,优
72,20170314,2017,03,14,优
73,20170315,2017,03,15,良
74,20170316,2017,03,16,良
75,20170317,2017,03,17,良
76,20170318,2017,03,18,良
77,20170319,2017,03,19,轻度污染
78,20170320,2017,03,20,轻度污染
79,20170321,2017,03,21,优
80,20170322,2017,03,22,轻度污染
81,20170323,2017,03,23,轻度污染
82,20170324,2017,03,24,良
83,20170325,2017,03,25,优
84,20170326,2017,03,26,优
85,20170327,2017,03,27,优
86,20170328,2017,03,28,优
87,20170329,2017,03,29,优
88,20170330,2017,03,30,优
89,20170331,2017,03,31,优
90,20170401,2017,04,01,优
91,20170402,2017,04,02,优
92,20170403,2017,04,03,良
93,20170404,2017,04,04,良
94,20170405,2017,04,05,良
95,20170406,2017,04,06,优
96,20170407,2017,04,07,良
97,20170408,2017,04,08,优
98,20170409,2017,04,09,优
99,20170410,2017,04,10,优
100,20170411,2017,04,11,优
101,20170412,2017,04,12,优
102,20170413,2017,04,13,优
103,20170414,2017,04,14,优
104,20170415,2017,04,15,优
105,20170416,2017,04,16,优
106,20170417,2017,04,17,良
107,20170418,2017,04,18,良
108,20170419,2017,04,19,良
109,20170420,2017,04,20,良
110,20170421,2017,04,21,优
