,Date,Year,Month,Day,指数级别
0,20170101,2017,01,01,轻度污染
1,20170102,2017,01,02,轻度污染
2,20170103,2017,01,03,轻度污染
3,20170104,2017,01,04,轻度污染
4,20170105,2017,01,05,轻度污染
5,20170106,2017,01,06,轻度污染
6,20170107,2017,01,07,良
7,20170108,2017,01,08,优
8,20170109,2017,01,09,优
9,20170110,2017,01,10,良
10,20170111,2017,01,11,优
11,20170112,2017,01,12,优
12,20170113,2017,01,13,优
13,20170114,2017,01,14,良
14,20170115,2017,01,15,良
15,20170116,2017,01,16,良
16,20170117,2017,01,17,良
17,20170118,2017,01,18,优
18,20170119,2017,01,19,优
19,20170120,2017,01,20,良
20,20170121,2017,01,21,良
21,20170122,2017,01,22,良
22,20170123,2017,01,23,良
23,20170124,2017,01,24,良
24,20170125,2017,01,25,良
25,20170126,2017,01,26,良
26,20170127,2017,01,27,轻度污染
27,20170128,2017,01,28,中度污染
28,20170129,2017,01,29,良
29,20170130,2017,01,30,良
30,20170131,2017,01,31,轻度污染
31,20170201,2017,02,01,轻度污染
32,20170202,2017,02,02,优
33,20170203,2017,02,03,良
34,20170204,2017,02,04,优
35,20170205,2017,02,05,优
36,20170206,2017,02,06,优
37,20170207,2017,02,07,优
38,20170208,2017,02,08,优
39,20170209,2017,02,09,良
40,20170210,2017,02,10,良
41,20170211,2017,02,11,良
42,20170212,2017,02,12,良
43,20170213,2017,02,13,良
44,20170214,2017,02,14,良
45,20170215,2017,02,15,轻度污染
46,20170216,2017,02,16,良
47,20170217,2017,02,17,良
48,20170218,2017,02,18,良
49,20170219,2017,02,19,良
50,20170220,2017,02,20,良
51,20170221,2017,02,21,良
52,20170222,2017,02,22,优
53,20170223,2017,02,23,优
54,20170224,2017,02,24,优
55,20170225,2017,02,25,优
56,20170226,2017,02,26,良
57,20170227,2017,02,27,良
58,20170228,2017,02,28,良
59,20170301,2017,03,01,良
60,20170302,2017,03,02,良
61,20170303,2017,03,03,良
62,20170304,2017,03,04,轻度污染
63,20170305,2017,03,05,良
64,20170306,2017,03,06,优
65,20170307,2017,03,07,良
66,20170308,2017,03,08,良
67,20170309,2017,03,09,良
68,20170310,2017,03,10,优
69,20170311,2017,03,11,良
70,20170312,2017,03,12,良
71,20170313,2017,03,13,优
72,20170314,2017,03,14,优
73,20170315,2017,03,15,优
74,20170316,2017,03,16,优
75,20170317,2017,03,17,优
76,20170318,2017,03,18,优
77,20170319,2017,03,19,优
78,20170320,2017,03,20,优
79,20170321,2017,03,21,优
80,20170322,2017,03,22,优
81,20170323,2017,03,23,优
82,20170324,2017,03,24,优
83,20170325,2017,03,25,优
84,20170326,2017,03,26,良
85,20170327,2017,03,27,良
86,20170328,2017,03,28,良
87,20170329,2017,03,29,良
88,20170330,2017,03,30,良
89,20170331,2017,03,31,优
90,20170401,2017,04,01,良
91,20170402,2017,04,02,良
92,20170403,2017,04,03,良
93,20170404,2017,04,04,良
94,20170405,2017,04,05,良
95,20170406,2017,04,06,良
96,20170407,2017,04,07,良
97,20170408,2017,04,08,优
98,20170409,2017,04,09,优
99,20170410,2017,04,10,良
100,20170411,2017,04,11,优
101,20170412,2017,04,12,优
102,20170413,2017,04,13,良
103,20170414,2017,04,14,良
104,20170415,2017,04,15,良
105,20170416,2017,04,16,优
106,20170417,2017,04,17,优
107,20170418,2017,04,18,优
108,20170419,2017,04,19,良
109,20170420,2017,04,20,良
110,20170421,2017,04,21,优
111,20170422,2017,04,22,优
112,20170423,2017,04,23,良
113,20170424,2017,04,24,良
114,20170425,2017,04,25,良
115,20170426,2017,04,26,优
116,20170427,2017,04,27,优
117,20170428,2017,04,28,良
118,20170429,2017,04,29,良
119,20170430,2017,04,30,良
120,20170501,2017,05,01,良
121,20170502,2017,05,02,良
122,20170503,2017,05,03,优
123,20170504,2017,05,04,优
124,20170505,2017,05,05,优
125,20170506,2017,05,06,良
126,20170507,2017,05,07,良
127,20170508,2017,05,08,良
128,20170509,2017,05,09,优
129,20170510,2017,05,10,良
130,20170511,2017,05,11,优
131,20170512,2017,05,12,优
132,20170513,2017,05,13,优
133,20170514,2017,05,14,良
134,20170515,2017,05,15,优
135,20170516,2017,05,16,优
136,20170517,2017,05,17,良
137,20170518,2017,05,18,良
138,20170519,2017,05,19,优
139,20170520,2017,05,20,良
140,20170521,2017,05,21,优
141,20170522,2017,05,22,优
142,20170523,2017,05,23,优
143,20170524,2017,05,24,优
144,20170525,2017,05,25,优
145,20170526,2017,05,26,优
146,20170527,2017,05,27,良
147,20170528,2017,05,28,良
148,20170529,2017,05,29,良
149,20170530,2017,05,30,良
150,20170531,2017,05,31,良
151,20170601,2017,06,01,优
152,20170602,2017,06,02,优
153,20170603,2017,06,03,优
154,20170604,2017,06,04,优
155,20170605,2017,06,05,良
156,20170606,2017,06,06,优
157,20170607,2017,06,07,优
158,20170608,2017,06,08,优
