,Date,AQI,Type,rh,temp,psfc
0,2013-01-01,108.62016129032257,PM25,62.85387096774194,270.6112903225806,102.09073709677422
1,2013-01-02,47.53709677419355,PM10,50.395806451612906,266.2638709677419,103.36723161290323
2,2013-01-03,55.32645161290323,PM10,62.30193548387097,265.7593548387097,103.85583967741935
3,2013-01-04,73.4625,PM25,63.1274193548387,267.07096774193553,103.18916387096776
4,2013-01-05,130.28611751152073,PM25,47.73870967741937,267.83225806451617,102.68880774193548
5,2013-01-06,174.3297926267281,PM25,53.64935483870968,269.7470967741935,102.64362387096774
6,2013-01-07,192.27995391705068,PM25,49.36806451612903,271.01193548387096,102.42691903225807
7,2013-01-08,221.55239631336406,PM25,59.254838709677415,272.57000000000005,102.57018290322581
8,2013-01-09,105.49959677419355,PM25,63.032580645161296,270.8512903225806,102.89964483870968
9,2013-01-10,88.22806451612904,PM10,56.28645161290323,271.46193548387095,102.90786193548387
10,2013-01-11,79.26935483870967,PM25,71.55903225806452,273.7345161290323,102.53857612903226
11,2013-01-12,168.87425115207373,PM25,69.89451612903225,274.51580645161295,102.4563516129032
12,2013-01-13,114.13467741935486,PM25,82.50064516129034,275.0874193548387,102.11295903225805
13,2013-01-14,159.12517281105988,PM25,81.85161290322581,274.30387096774194,102.42023387096773
14,2013-01-15,195.93423963133642,PM25,79.3448387096774,275.11806451612904,102.40229838709676
15,2013-01-16,162.0229262672811,PM25,78.83064516129032,273.00193548387097,102.76710193548385
16,2013-01-17,72.82903225806452,PM10,62.122258064516124,270.4806451612903,103.52599419354839
17,2013-01-18,148.9754608294931,PM25,54.96451612903226,271.5425806451613,103.18565645161291
18,2013-01-19,113.51152073732719,PM25,56.75129032258065,273.488064516129,102.71529612903228
19,2013-01-20,62.77183179723502,PM25,91.62032258064515,276.23709677419356,102.38216354838711
20,2013-01-21,74.6524193548387,PM25,93.1383870967742,274.9716129032258,102.25439903225805
21,2013-01-22,102.80322580645164,PM25,71.73064516129031,271.95838709677423,102.61995258064518
22,2013-01-23,160.29038018433178,PM25,68.6241935483871,273.861935483871,102.02647258064518
23,2013-01-24,130.93749999999997,PM25,66.6041935483871,274.0890322580645,102.06311322580648
24,2013-01-25,115.45927419354838,PM25,59.496451612903236,274.66935483870964,102.1454629032258
25,2013-01-26,72.56428571428572,PM25,83.33129032258063,273.8970967741936,102.33603903225807
26,2013-01-27,77.60201612903225,PM25,66.5674193548387,274.05516129032253,102.73368806451612
