,Date,Year,Month,Day,指数级别
0,20150101,2015,01,01,良
1,20150102,2015,01,02,良
2,20150103,2015,01,03,良
3,20150104,2015,01,04,良
4,20150105,2015,01,05,优
5,20150106,2015,01,06,优
6,20150107,2015,01,07,良
7,20150108,2015,01,08,良
8,20150109,2015,01,09,良
9,20150110,2015,01,10,良
10,20150111,2015,01,11,良
11,20150112,2015,01,12,中度污染
12,20150113,2015,01,13,中度污染
13,20150114,2015,01,14,良
14,20150115,2015,01,15,良
15,20150116,2015,01,16,优
16,20150117,2015,01,17,良
17,20150118,2015,01,18,优
18,20150119,2015,01,19,良
19,20150120,2015,01,20,优
20,20150121,2015,01,21,优
21,20150122,2015,01,22,良
22,20150123,2015,01,23,良
23,20150124,2015,01,24,良
24,20150125,2015,01,25,良
25,20150126,2015,01,26,良
26,20150127,2015,01,27,良
27,20150128,2015,01,28,良
28,20150129,2015,01,29,优
29,20150130,2015,01,30,优
30,20150131,2015,01,31,良
31,20150201,2015,02,01,中度污染
32,20150202,2015,02,02,轻度污染
33,20150203,2015,02,03,轻度污染
34,20150204,2015,02,04,良
35,20150205,2015,02,05,优
36,20150206,2015,02,06,良
37,20150207,2015,02,07,优
38,20150208,2015,02,08,良
39,20150209,2015,02,09,良
40,20150210,2015,02,10,良
41,20150211,2015,02,11,良
42,20150212,2015,02,12,优
43,20150213,2015,02,13,良
44,20150214,2015,02,14,良
45,20150215,2015,02,15,良
46,20150216,2015,02,16,优
47,20150217,2015,02,17,良
48,20150218,2015,02,18,轻度污染
49,20150219,2015,02,19,轻度污染
50,20150220,2015,02,20,良
51,20150221,2015,02,21,优
52,20150222,2015,02,22,良
53,20150223,2015,02,23,良
54,20150224,2015,02,24,优
55,20150225,2015,02,25,良
56,20150226,2015,02,26,良
57,20150227,2015,02,27,良
58,20150228,2015,02,28,优
59,20150301,2015,03,01,优
60,20150302,2015,03,02,良
61,20150303,2015,03,03,良
62,20150304,2015,03,04,优
63,20150305,2015,03,05,良
64,20150306,2015,03,06,良
65,20150307,2015,03,07,良
66,20150308,2015,03,08,优
