,Date,Year,Month,Day,指数级别
0,20150101,2015,01,01,良
1,20150102,2015,01,02,轻度污染
2,20150103,2015,01,03,中度污染
3,20150104,2015,01,04,重度污染
4,20150105,2015,01,05,严重污染
5,20150106,2015,01,06,良
6,20150107,2015,01,07,良
7,20150108,2015,01,08,中度污染
8,20150109,2015,01,09,重度污染
9,20150110,2015,01,10,重度污染
10,20150111,2015,01,11,中度污染
11,20150112,2015,01,12,轻度污染
12,20150113,2015,01,13,轻度污染
13,20150114,2015,01,14,重度污染
14,20150115,2015,01,15,重度污染
15,20150116,2015,01,16,重度污染
16,20150117,2015,01,17,良
17,20150118,2015,01,18,轻度污染
18,20150119,2015,01,19,良
19,20150120,2015,01,20,轻度污染
20,20150121,2015,01,21,中度污染
21,20150122,2015,01,22,良
22,20150123,2015,01,23,中度污染
23,20150124,2015,01,24,重度污染
24,20150125,2015,01,25,良
25,20150126,2015,01,26,中度污染
26,20150127,2015,01,27,良
27,20150128,2015,01,28,良
28,20150129,2015,01,29,轻度污染
29,20150130,2015,01,30,良
30,20150131,2015,01,31,轻度污染
31,20150201,2015,02,01,轻度污染
32,20150202,2015,02,02,中度污染
33,20150203,2015,02,03,重度污染
34,20150204,2015,02,04,轻度污染
35,20150205,2015,02,05,良
36,20150206,2015,02,06,轻度污染
37,20150207,2015,02,07,轻度污染
38,20150208,2015,02,08,良
39,20150209,2015,02,09,良
40,20150210,2015,02,10,轻度污染
41,20150211,2015,02,11,中度污染
42,20150212,2015,02,12,轻度污染
43,20150213,2015,02,13,中度污染
44,20150214,2015,02,14,中度污染
45,20150215,2015,02,15,中度污染
46,20150216,2015,02,16,轻度污染
47,20150217,2015,02,17,轻度污染
48,20150218,2015,02,18,良
49,20150219,2015,02,19,中度污染
50,20150220,2015,02,20,轻度污染
51,20150221,2015,02,21,中度污染
52,20150222,2015,02,22,轻度污染
53,20150223,2015,02,23,轻度污染
54,20150224,2015,02,24,轻度污染
55,20150225,2015,02,25,中度污染
56,20150226,2015,02,26,轻度污染
57,20150227,2015,02,27,良
58,20150228,2015,02,28,良
59,20150301,2015,03,01,轻度污染
60,20150302,2015,03,02,良
61,20150303,2015,03,03,良
62,20150304,2015,03,04,良
63,20150305,2015,03,05,良
64,20150306,2015,03,06,轻度污染
65,20150307,2015,03,07,轻度污染
66,20150308,2015,03,08,轻度污染
67,20150309,2015,03,09,良
68,20150310,2015,03,10,良
69,20150311,2015,03,11,良
70,20150312,2015,03,12,轻度污染
71,20150313,2015,03,13,轻度污染
72,20150314,2015,03,14,轻度污染
73,20150315,2015,03,15,轻度污染
74,20150316,2015,03,16,轻度污染
75,20150317,2015,03,17,轻度污染
76,20150318,2015,03,18,良
77,20150319,2015,03,19,轻度污染
78,20150320,2015,03,20,中度污染
79,20150321,2015,03,21,轻度污染
80,20150322,2015,03,22,轻度污染
81,20150323,2015,03,23,良
82,20150324,2015,03,24,轻度污染
83,20150325,2015,03,25,良
84,20150326,2015,03,26,良
85,20150327,2015,03,27,良
86,20150328,2015,03,28,轻度污染
87,20150329,2015,03,29,严重污染
88,20150330,2015,03,30,中度污染
89,20150331,2015,03,31,轻度污染
90,20150401,2015,04,01,优
91,20150402,2015,04,02,良
92,20150403,2015,04,03,轻度污染
93,20150404,2015,04,04,轻度污染
94,20150405,2015,04,05,中度污染
95,20150406,2015,04,06,良
96,20150407,2015,04,07,良
97,20150408,2015,04,08,良
98,20150409,2015,04,09,良
99,20150410,2015,04,10,轻度污染
100,20150411,2015,04,11,轻度污染
101,20150412,2015,04,12,良
102,20150413,2015,04,13,良
103,20150414,2015,04,14,良
104,20150415,2015,04,15,轻度污染
105,20150416,2015,04,16,轻度污染
106,20150417,2015,04,17,轻度污染
107,20150418,2015,04,18,轻度污染
108,20150419,2015,04,19,良
109,20150420,2015,04,20,良
110,20150421,2015,04,21,良
111,20150422,2015,04,22,良
112,20150423,2015,04,23,良
113,20150424,2015,04,24,轻度污染
114,20150425,2015,04,25,轻度污染
115,20150426,2015,04,26,良
116,20150427,2015,04,27,良
117,20150428,2015,04,28,良
118,20150429,2015,04,29,轻度污染
119,20150430,2015,04,30,轻度污染
120,20150501,2015,05,01,轻度污染
121,20150502,2015,05,02,良
122,20150503,2015,05,03,良
123,20150504,2015,05,04,良
124,20150505,2015,05,05,良
125,20150506,2015,05,06,良
126,20150507,2015,05,07,良
127,20150508,2015,05,08,良
128,20150509,2015,05,09,良
129,20150510,2015,05,10,良
130,20150511,2015,05,11,优
131,20150512,2015,05,12,良
132,20150513,2015,05,13,良
133,20150514,2015,05,14,良
134,20150515,2015,05,15,良
135,20150516,2015,05,16,良
136,20150517,2015,05,17,良
137,20150518,2015,05,18,良
138,20150519,2015,05,19,良
139,20150520,2015,05,20,良
140,20150521,2015,05,21,良
141,20150522,2015,05,22,良
142,20150523,2015,05,23,轻度污染
143,20150524,2015,05,24,轻度污染
144,20150525,2015,05,25,轻度污染
145,20150526,2015,05,26,轻度污染
146,20150527,2015,05,27,轻度污染
147,20150528,2015,05,28,良
148,20150529,2015,05,29,良
149,20150530,2015,05,30,轻度污染
150,20150531,2015,05,31,轻度污染
151,20150601,2015,06,01,轻度污染
152,20150602,2015,06,02,良
153,20150603,2015,06,03,良
154,20150604,2015,06,04,良
155,20150605,2015,06,05,良
156,20150606,2015,06,06,轻度污染
157,20150607,2015,06,07,良
158,20150608,2015,06,08,良
159,20150609,2015,06,09,良
160,20150610,2015,06,10,轻度污染
161,20150611,2015,06,11,良
162,20150612,2015,06,12,良
163,20150613,2015,06,13,良
164,20150614,2015,06,14,良
165,20150615,2015,06,15,轻度污染
166,20150616,2015,06,16,轻度污染
167,20150617,2015,06,17,轻度污染
168,20150618,2015,06,18,良
169,20150619,2015,06,19,良
170,20150620,2015,06,20,良
171,20150621,2015,06,21,良
172,20150622,2015,06,22,轻度污染
173,20150623,2015,06,23,轻度污染
174,20150624,2015,06,24,良
175,20150625,2015,06,25,良
176,20150626,2015,06,26,良
177,20150627,2015,06,27,轻度污染
178,20150628,2015,06,28,轻度污染
179,20150629,2015,06,29,良
180,20150630,2015,06,30,优
181,20150701,2015,07,01,良
182,20150702,2015,07,02,优
183,20150703,2015,07,03,良
184,20150704,2015,07,04,良
185,20150705,2015,07,05,良
186,20150706,2015,07,06,轻度污染
187,20150707,2015,07,07,轻度污染
188,20150708,2015,07,08,轻度污染
189,20150709,2015,07,09,轻度污染
190,20150710,2015,07,10,轻度污染
191,20150711,2015,07,11,良
192,20150712,2015,07,12,良
193,20150713,2015,07,13,轻度污染
194,20150714,2015,07,14,良
195,20150715,2015,07,15,良
196,20150716,2015,07,16,良
197,20150717,2015,07,17,轻度污染
198,20150718,2015,07,18,良
199,20150719,2015,07,19,良
200,20150720,2015,07,20,良
201,20150721,2015,07,21,轻度污染
202,20150722,2015,07,22,良
203,20150723,2015,07,23,良
204,20150724,2015,07,24,良
