,Month,PM25,PM10,SO2,NO2,CO,O3,Total
0,01,123.00074372759859,157.89260752688173,64.1580600358423,58.6960752688172,2386.87275985663,26.87418906810036,2817.4944354838703
1,02,74.91172619047619,93.28063988095239,34.13593253968254,38.390297619047615,1378.794642857143,39.35001984126985,1658.8632589285714
2,03,80.89457885304658,107.45682347670251,31.867889784946232,46.880707885304666,1204.054659498208,42.515313620071694,1513.6699731182796
3,04,51.210842592592606,82.97853240740741,18.51112962962963,29.82940277777778,783.4351851851853,62.41771296296296,1028.3828055555557
4,05,69.52668458781362,112.38540322580646,22.671841397849455,30.624426523297494,867.894265232975,88.58707885304658,1191.6896998207885
5,06,82.43777314814815,108.91371296296298,14.241624999999999,26.10620370370371,1090.75,82.79181018518518,1405.241125
6,07,55.901482974910394,78.08214605734766,9.280201612903227,19.47292562724014,791.2724014336916,80.3191353046595,1034.3282930107525
7,08,51.8595564516129,75.92611111111111,9.094408602150535,21.209099462365586,733.5573476702508,82.16540770609316,973.811931003584
8,09,65.64561111111112,93.66560648148149,13.166143518518517,32.03955555555555,986.6944444444445,54.90894907407407,1246.1203101851852
9,10,74.7044982078853,105.11048387096773,17.029722222222222,43.84010752688171,979.1532258064517,35.13863799283154,1254.9766756272402
10,11,53.615546296296294,77.50463425925928,19.35524537037037,39.57388425925925,942.8379629629628,34.6144537037037,1167.5017268518518
11,12,57.95189068100358,74.63315860215052,28.698104838709682,42.09534050179212,1258.2258064516132,29.43062724014337,1491.0349283154126
