, U(m/s), V(m/s),PM2.5_IAQI,PM10_IAQI,SO2_IAQI,NO2_IAQI,CO_IAQI,O3_IAQI,AQI,首要污染物,指数类别,城市,degree,direction
0,0.8,-3.34,20.185714285714287,17.71,6.06,4.75,8.25,30.26,30.26,O3_IAQI,优,西安市,0.23509197961934733,south
1,0.11,-5.6,19.1,17.39,7.28,6.4,9.75,28.295,28.295,O3_IAQI,优,西安市,0.019640331382198273,south
2,-1.17,-6.18,20.114285714285717,18.43,8.55,6.925,10.75,28.37,28.37,O3_IAQI,优,西安市,0.18710593236281892,north
3,0.23,-5.55,19.942857142857143,18.07,8.36,6.8375,10.0,30.07,30.07,O3_IAQI,优,西安市,0.04141774210919711,south
4,1.55,-3.47,18.7,16.71,6.29,5.6000000000000005,8.75,30.555,30.555,O3_IAQI,优,西安市,0.4200944850265196,south
5,2.6,-5.17,20.614285714285717,19.25,8.66,7.6125,11.0,28.395,28.395,O3_IAQI,优,西安市,0.4659659974282197,south
6,0.77,-4.24,23.000000000000004,21.71,10.89,8.7375,13.25,28.27,28.27,O3_IAQI,优,西安市,0.17964594479338314,south
7,1.11,-2.69,24.02857142857143,22.51,11.61,8.575000000000001,13.5,28.235,28.235,O3_IAQI,优,西安市,0.39135470710977394,south
8,2.59,-2.47,23.27142857142857,22.13,12.3,8.5375,12.75,27.64,27.64,O3_IAQI,优,西安市,0.8091091339018324,south
9,2.86,-3.43,23.37142857142857,22.96,13.91,9.6875,12.5,26.75,26.75,O3_IAQI,优,西安市,0.6950249734365546,south
10,2.44,-4.95,22.82857142857143,22.69,14.73,10.45,12.0,25.935,25.935,O3_IAQI,优,西安市,0.4579750604446562,south
11,3.28,-5.12,22.5,22.48,15.11,11.35,11.5,27.32,27.32,O3_IAQI,优,西安市,0.5697564534829784,south
12,2.9,-2.75,30.500000000000004,31.35,17.02,14.475,21.0,27.46,31.35,PM10_IAQI,优,西安市,0.8119406011488455,south
13,2.33,-1.09,36.31428571428572,38.12,20.42,15.7875,25.5,27.585,38.12,PM10_IAQI,优,西安市,1.1332297590848428,south
14,3.01,-0.29,39.05714285714286,41.96,22.65,16.65,26.75,27.29,41.96,PM10_IAQI,优,西安市,1.4747472702106836,south
15,3.45,-0.22,43.55714285714286,48.24,27.49,22.4875,28.5,25.485,48.24,PM10_IAQI,优,西安市,1.5071144355507509,south
16,3.55,0.08,46.94285714285714,52.185,35.15,29.5625,28.5,24.295,52.185,PM10_IAQI,良,西安市,1.548264929093974,south
17,4.17,0.17,46.2,52.885000000000005,42.41,33.4625,25.5,25.13,52.885000000000005,PM10_IAQI,良,西安市,1.5300515030660944,south
18,4.8,-0.37,44.18571428571428,52.8,37.98,32.325,21.75,24.42,52.8,PM10_IAQI,良,西安市,1.4938651237533263,south
19,4.56,-0.81,39.614285714285714,49.87,29.74,25.575000000000003,17.0,24.635,49.87,PM10_IAQI,优,西安市,1.394998424697429,south
20,4.0,-1.32,37.28571428571429,46.19,24.23,21.45,15.0,25.93,46.19,PM10_IAQI,优,西安市,1.252048766374252,south
21,5.56,-3.54,39.18571428571428,47.13,22.52,21.75,17.25,25.775,47.13,PM10_IAQI,优,西安市,1.0038343887729153,south
22,4.51,-0.52,34.51428571428571,35.9,18.92,17.575,25.0,23.97,35.9,PM10_IAQI,优,西安市,1.4560038822934696,south
23,4.4,0.05,41.614285714285714,43.86,22.72,19.7,32.0,23.74,43.86,PM10_IAQI,优,西安市,1.5594331795306058,south
24,4.44,0.56,47.82857142857142,50.535,25.71,21.2375,37.25,23.665,50.535,PM10_IAQI,良,西安市,1.4453326852522366,south
25,4.38,0.73,55.3875,55.96,32.99,29.575,43.5,23.0,55.96,PM10_IAQI,良,西安市,1.4056476493802699,south
