,Month,PM25,PM10,SO2,NO2,CO,O3,Total
0,01,90.3169758064516,98.06173387096776,33.2831317204301,58.73176075268817,1477.6478494623657,31.792486559139792,1789.8339381720432
1,02,53.31885416666666,60.593869047619044,16.65571428571429,32.41934523809523,819.9851190476193,56.42212797619048,1039.3950297619049
2,03,56.82950268817205,83.1155241935484,21.359180107526882,47.47682795698925,796.1021505376345,61.060215053763436,1065.9434005376345
3,04,55.72227777777778,79.99354166666667,22.818152777777787,44.207930555555556,785.2500000000001,78.72347222222221,1066.7153750000002
4,05,52.98737903225806,62.38662634408602,14.402432795698925,32.946344086021504,686.8817204301075,82.20314516129032,931.8076478494623
5,06,45.92208333333333,50.18934722222222,10.834791666666666,29.86561111111111,645.5277777777777,71.03159722222222,853.3712083333332
6,07,35.875295698924724,57.1855376344086,14.611048387096774,28.60799731182796,568.7903225806451,80.46756720430106,785.5377688172043
7,08,29.154193548387095,45.76008064516128,11.95540322580645,22.993198924731185,587.4059139784946,71.64630376344087,768.9150940860214
8,09,27.227916666666665,40.484138888888886,13.069444444444445,28.021125,572.5277777777778,66.24879166666666,747.5791944444445
9,10,34.50216397849462,53.93178763440861,17.808145161290323,31.511169354838707,660.8467741935484,65.50190860215054,864.1019489247312
10,11,75.27652777777779,115.05231944444446,33.89469444444445,56.16216666666666,1015.9166666666664,43.14595833333335,1339.448333333333
11,12,123.5310752688172,150.37502688172043,48.05694892473119,67.99580645161289,1434.4623655913979,26.725927419354836,1851.1471505376344
