, TEMP(K), RH(%), PSFC(Pa),PM2.5_IAQI,PM10_IAQI,SO2_IAQI,NO2_IAQI,CO_IAQI,O3_IAQI,AQI,指数类别,城市
0,-6.399999999999977,60.17,77.11685,20.185714285714287,17.71,6.06,4.75,8.25,30.26,30.26,优,西安市
1,-5.689999999999998,58.05,80.06025,19.1,17.39,7.28,6.4,9.75,28.295,28.295,优,西安市
2,-6.170000000000016,62.01,82.88128,20.114285714285717,18.43,8.55,6.925,10.75,28.37,28.37,优,西安市
3,-7.589999999999975,67.95,81.32933,19.942857142857143,18.07,8.36,6.8375,10.0,30.07,30.07,优,西安市
4,-9.509999999999991,72.22,74.52977,18.7,16.71,6.29,5.6000000000000005,8.75,30.555,30.555,优,西安市
5,-6.850000000000023,62.54,79.92475,20.614285714285717,19.25,8.66,7.6125,11.0,28.395,28.395,优,西安市
6,-4.949999999999989,57.68,84.90003999999999,23.000000000000004,21.71,10.89,8.7375,13.25,28.27,28.27,优,西安市
7,-5.579999999999984,61.46,85.01061999999999,24.02857142857143,22.51,11.61,8.575000000000001,13.5,28.235,28.235,优,西安市
8,-5.740000000000009,63.04,85.14613,23.27142857142857,22.13,12.3,8.5375,12.75,27.64,27.64,优,西安市
9,-5.160000000000025,61.48,86.07727,23.37142857142857,22.96,13.91,9.6875,12.5,26.75,26.75,优,西安市
10,-6.319999999999993,66.1,84.36124000000001,22.82857142857143,22.69,14.73,10.45,12.0,25.935,25.935,优,西安市
11,-6.970000000000027,69.12,83.10206,22.5,22.48,15.11,11.35,11.5,27.32,27.32,优,西安市
12,-2.4499999999999886,49.87,89.01499000000001,30.500000000000004,31.35,17.02,14.475,21.0,27.46,31.35,优,西安市
13,-0.9499999999999886,46.39,91.73797,36.31428571428572,38.12,20.42,15.7875,25.5,27.585,38.12,优,西安市
14,-0.8600000000000136,46.81,91.98517,39.05714285714286,41.96,22.65,16.65,26.75,27.29,41.96,优,西安市
15,-0.4900000000000091,46.32,92.6052,43.55714285714286,48.24,27.49,22.4875,28.5,25.485,48.24,优,西安市
16,-1.079999999999984,48.72,92.30591,46.94285714285714,52.185,35.15,29.5625,28.5,24.295,52.185,良,西安市
17,-2.7900000000000205,54.98,90.22918,46.2,52.885000000000005,42.41,33.4625,25.5,25.13,52.885000000000005,良,西安市
18,-3.1999999999999886,56.98,89.67413,44.18571428571428,52.8,37.98,32.325,21.75,24.42,52.8,良,西安市
19,-2.8799999999999955,56.26,90.19244,39.614285714285714,49.87,29.74,25.575000000000003,17.0,24.635,49.87,优,西安市
20,-4.810000000000002,64.75,88.26227,37.28571428571429,46.19,24.23,21.45,15.0,25.93,46.19,优,西安市
21,-6.389999999999986,72.28,85.88616,39.18571428571428,47.13,22.52,21.75,17.25,25.775,47.13,优,西安市
22,1.4700000000000273,40.01,95.20977,34.51428571428571,35.9,18.92,17.575,25.0,23.97,35.9,优,西安市
23,2.519999999999982,38.27,96.89245,41.614285714285714,43.86,22.72,19.7,32.0,23.74,43.86,优,西安市
24,2.6999999999999886,38.39,97.27325,47.82857142857142,50.535,25.71,21.2375,37.25,23.665,50.535,良,西安市
25,3.1299999999999955,38.21,97.89009,55.3875,55.96,32.99,29.575,43.5,23.0,55.96,良,西安市
26,3.3000000000000114,38.62,98.46425,64.025,63.095,45.98,40.15,48.5,22.185,64.025,良,西安市
27,2.170000000000016,41.83,97.2873,67.9625,68.21000000000001,53.57,46.65,46.75,22.04,68.21000000000001,良,西安市
28,0.9900000000000091,45.08,95.70536,62.475,66.545,50.595,45.8125,38.5,22.58,66.545,良,西安市
29,0.4800000000000182,47.14,95.23388,56.4125,63.395,41.97,38.775,30.5,23.175,63.395,良,西安市
30,-2.009999999999991,55.17,92.30475,51.5625,60.415,36.05,33.5125,24.5,23.92,60.415,良,西安市
31,-6.220000000000027,71.63,86.08344,51.0375,58.93,32.16,31.6375,23.25,24.015,58.93,良,西安市
32,-6.029999999999973,69.62,84.36807,47.58571428571429,54.125,26.75,27.8625,23.5,25.16,54.125,良,西安市
33,3.4499999999999886,38.89,98.44151,82.25,71.67,55.45,57.475,73.25,19.88,82.25,良,西安市
34,2.6299999999999955,41.71,97.79149000000001,79.325,75.095,55.58,58.95,63.0,19.615,79.325,良,西安市
35,1.0299999999999727,46.11,95.84639999999999,69.225,70.83,50.67,52.0,48.0,21.43,70.83,良,西安市
36,-0.6800000000000068,51.06,93.81906,62.1625,67.675,43.26,44.35,36.5,22.165,67.675,良,西安市
37,-3.730000000000018,61.48,89.42791,58.337500000000006,64.22,37.54,40.2375,31.0,23.35,64.22,良,西安市
38,3.1000000000000227,41.77,98.40603999999999,104.2125,85.32,61.44,68.1,97.75,14.855,104.2125,轻度污染,西安市
39,2.2200000000000273,43.97,97.40089,90.55,81.53999999999999,55.07,67.17500000000001,74.0,17.545,90.55,良,西安市
40,1.3999999999999773,45.78,96.28487,76.875,75.185,50.64,57.175,54.0,19.65,76.875,良,西安市
41,3.1499999999999773,43.2,98.26897,105.1125,81.8,45.75,55.7,92.5,19.125,105.1125,轻度污染,西安市
42,3.019999999999982,43.65,98.58689,101.3375,84.03,45.91,58.1,79.75,19.19,101.3375,轻度污染,西安市
43,2.910000000000025,43.22,98.49133,91.2875,81.285,45.04,56.9875,64.75,19.41,91.2875,良,西安市
44,2.930000000000007,44.87,98.11388000000001,99.4125,77.41,36.23,47.5875,75.75,20.61,99.4125,良,西安市
45,2.9599999999999795,45.05,98.5793,98.4,80.075,37.47,49.3125,68.75,20.015,98.4,良,西安市
46,-9.079999999999984,67.55,76.79138,69.7625,56.65,21.08,9.2875,15.75,31.22,69.7625,良,西安市
47,-8.220000000000027,61.56,79.74023,81.7125,64.37,26.64,15.875,20.0,28.015,81.7125,良,西安市
48,-8.269999999999982,60.54,82.56711999999999,88.125,68.88499999999999,31.21,20.775,23.5,25.475,88.125,良,西安市
