,Date,PM25,PM10,SO2,NO2,CO
0,2013-01-01,66.3220618556701,61.29948453608247,36.54149484536082,30.071778350515466,39.96494845360825
1,2013-01-02,37.96526141384389,34.00984536082475,31.245257731958763,22.50515463917526,34.28092783505155
2,2013-01-03,117.8201288659794,88.5910824742268,60.69857256145916,50.07422680412372,46.20618556701031
3,2013-01-04,207.11712444771723,150.04433726067745,83.74151070578905,75.2381443298969,59.30927835051546
4,2013-01-05,267.95262641138925,210.1129344624448,82.26655035685964,83.98451030927835,64.38762886597938
5,2013-01-06,319.6367243495336,193.94088365243005,94.13182791435369,97.3298969072165,77.93762886597938
6,2013-01-07,313.0826730486009,233.15663475699557,85.00729579698651,93.9765206185567,71.04226804123712
7,2013-01-08,244.15620152184582,194.19810751104566,79.97706978588421,89.16115979381445,72.04896907216495
8,2013-01-09,151.08227540500738,110.88517673048601,74.03586042823156,72.50917525773197,52.4979381443299
9,2013-01-10,299.27696367206676,251.9658063328424,79.35475812846947,87.8084793814433,69.56855670103093
10,2013-01-11,255.1846232204222,193.68841678939617,77.0799444885012,86.26574742268042,64.91082474226805
11,2013-01-12,120.53598674521356,82.16158689248896,79.88505551149882,115.88231958762886,88.17371134020618
12,2013-01-13,302.8929786450663,225.41698821796757,89.6638223632038,107.98159793814432,94.51030927835052
13,2013-01-14,253.47839469808542,186.2000331369661,76.6011855670103,92.69762886597938,80.77319587628865
14,2013-01-15,177.83317378497787,123.07155375552283,62.52835051546392,78.38182989690722,65.5082474226804
15,2013-01-16,199.0118114874816,146.55784241531666,61.09462727993657,73.10041237113403,65.84536082474227
16,2013-01-17,226.92021845851744,182.1293740795287,72.64081284694686,86.8464175257732,69.13917525773196
17,2013-01-18,236.84059646539026,198.02846097201768,78.34716891356067,83.94634020618557,68.91855670103094
18,2013-01-19,329.3638892979872,263.97597201767303,80.96053132434577,112.34744845360824,88.51855670103092
19,2013-01-20,136.09350147275404,90.35747422680411,53.15479381443299,72.1430412371134,60.00773195876289
20,2013-01-21,192.69761045655378,115.78634020618556,59.129329896907215,83.77231958762887,73.78402061855671
21,2013-01-22,257.31466985763376,210.24256995581737,65.06809278350516,87.25097938144329,77.00927835051546
22,2013-01-23,166.21491899852725,166.72634756995583,74.34591593973036,79.63484536082473,67.35360824742268
23,2013-01-24,160.8406111929308,135.02998159057438,70.82803727200634,79.20146907216495,63.63298969072166
24,2013-01-25,129.1292967599411,90.36108247422682,52.21005154639175,71.12603092783506,53.91237113402062
25,2013-01-26,128.12851251840942,86.304587628866,52.51567010309279,63.05798969072166,43.80154639175258
26,2013-01-27,244.6865795287187,164.34657216494847,64.29218080888184,73.28479381443299,50.99484536082474
27,2013-01-28,207.65321551300931,177.41087997054495,64.2245281522601,65.65530927835052,49.769587628865985
28,2013-01-29,244.72095360824744,197.25637702503678,64.80773195876289,81.52502577319588,69.50154639175257
29,2013-01-30,205.16353092783504,154.71800441826215,70.26298969072167,92.22871134020617,70.01649484536082
30,2013-01-31,173.52238586156113,116.68432989690723,74.10201030927834,94.75664948453608,85.81288659793813
31,2013-02-01,79.7160530191458,61.34247422680413,43.893350515463915,50.769587628865985,51.70618556701031
32,2013-02-02,83.82708026509572,68.46762886597939,53.86845360824742,60.10373711340207,35.95618556701031
33,2013-02-03,222.00761045655375,119.44005154639173,61.13670103092784,71.85296391752577,59.95309278350516
34,2013-02-04,96.31995949926362,63.21788659793814,39.46484536082475,38.47899484536083,32.615979381443296
35,2013-02-05,103.24101620029455,69.03453608247423,48.471391752577325,39.45708762886598,32.91494845360825
36,2013-02-06,161.60728276877762,100.50553019145802,47.75227597145123,47.92345360824742,37.91494845360825
37,2013-02-07,29.009407216494843,28.218762886597936,20.32139175257732,15.983505154639174,15.469072164948454
38,2013-02-08,105.92106038291608,79.14850515463917,52.02474226804123,37.648711340206184,32.78092783505155
39,2013-02-09,208.42673784977907,129.4328350515464,62.52268041237113,53.119458762886595,46.57216494845361
40,2013-02-10,231.5216826215022,138.80677466863034,60.89175257731958,47.61469072164948,47.86082474226804
41,2013-02-11,130.32369293078054,86.0232474226804,41.66221649484536,31.944329896907217,42.074742268041234
42,2013-02-12,120.71984904270987,88.02953608247422,48.48139175257732,33.98840206185567,38.26030927835052
43,2013-02-13,223.1533652430044,145.7197128129602,51.02015463917526,49.348453608247425,60.355154639175254
44,2013-02-14,162.57819955817376,114.05082474226805,44.16458762886598,46.64574742268041,51.324742268041234
45,2013-02-15,79.36141384388807,66.80247422680412,41.179175257731956,31.65064432989691,32.73969072164948
46,2013-02-16,190.0040058910162,122.26458762886598,48.451649484536084,48.259922680412366,49.27061855670103
47,2013-02-17,164.00860088365243,121.9052319587629,43.8251030927835,43.95077319587628,39.63659793814433
48,2013-02-18,72.04287555228277,65.07139175257731,35.615206185567004,33.9014175257732,30.306701030927837
49,2013-02-19,79.16717599410897,64.89680412371133,36.56479381443299,36.783376288659795,34.079896907216494
50,2013-02-20,150.33895802650957,103.66958762886598,50.11237113402061,56.01378865979383,49.40721649484536
51,2013-02-21,218.84981590574378,149.08050810014728,50.42030927835051,67.4664175257732,66.98350515463918
52,2013-02-22,149.56916789396172,117.89834683357878,41.0229381443299,46.67487113402061,50.99484536082474
53,2013-02-23,168.79164212076586,116.41376288659794,66.61507137192703,67.62474226804122,51.51288659793814
54,2013-02-24,321.99501718213054,229.79597569955817,73.51386597938145,101.14618556701029,93.71855670103093
