,Date,Year,Month,Day,指数级别
0,20140101,2014,01,01,轻度污染
1,20140102,2014,01,02,轻度污染
2,20140103,2014,01,03,轻度污染
3,20140104,2014,01,04,轻度污染
4,20140105,2014,01,05,中度污染
5,20140106,2014,01,06,轻度污染
6,20140107,2014,01,07,良
7,20140108,2014,01,08,良
8,20140109,2014,01,09,良
9,20140110,2014,01,10,良
10,20140111,2014,01,11,良
11,20140112,2014,01,12,良
12,20140113,2014,01,13,良
13,20140114,2014,01,14,良
14,20140115,2014,01,15,良
15,20140116,2014,01,16,良
16,20140117,2014,01,17,良
17,20140118,2014,01,18,良
18,20140119,2014,01,19,良
19,20140120,2014,01,20,轻度污染
20,20140121,2014,01,21,轻度污染
21,20140122,2014,01,22,良
22,20140123,2014,01,23,良
23,20140124,2014,01,24,良
24,20140125,2014,01,25,良
25,20140126,2014,01,26,良
26,20140127,2014,01,27,良
27,20140128,2014,01,28,良
28,20140129,2014,01,29,良
29,20140130,2014,01,30,良
30,20140131,2014,01,31,重度污染
31,20140201,2014,02,01,良
32,20140202,2014,02,02,良
33,20140203,2014,02,03,良
34,20140204,2014,02,04,良
35,20140205,2014,02,05,优
36,20140206,2014,02,06,优
37,20140207,2014,02,07,优
38,20140208,2014,02,08,优
39,20140209,2014,02,09,优
40,20140210,2014,02,10,优
41,20140211,2014,02,11,良
42,20140212,2014,02,12,良
43,20140213,2014,02,13,优
44,20140214,2014,02,14,良
45,20140215,2014,02,15,良
46,20140216,2014,02,16,良
47,20140217,2014,02,17,良
48,20140218,2014,02,18,优
49,20140219,2014,02,19,优
50,20140220,2014,02,20,优
51,20140221,2014,02,21,良
52,20140222,2014,02,22,良
53,20140223,2014,02,23,良
54,20140224,2014,02,24,优
55,20140225,2014,02,25,优
56,20140226,2014,02,26,良
57,20140227,2014,02,27,优
58,20140228,2014,02,28,优
59,20140301,2014,03,01,优
60,20140302,2014,03,02,优
61,20140303,2014,03,03,良
62,20140304,2014,03,04,优
63,20140305,2014,03,05,优
64,20140306,2014,03,06,优
65,20140307,2014,03,07,优
66,20140308,2014,03,08,优
67,20140309,2014,03,09,优
68,20140310,2014,03,10,优
69,20140311,2014,03,11,优
70,20140312,2014,03,12,良
71,20140313,2014,03,13,良
72,20140314,2014,03,14,良
73,20140315,2014,03,15,良
74,20140316,2014,03,16,良
75,20140317,2014,03,17,良
76,20140318,2014,03,18,良
77,20140319,2014,03,19,优
78,20140320,2014,03,20,良
79,20140321,2014,03,21,良
80,20140322,2014,03,22,良
81,20140323,2014,03,23,良
82,20140324,2014,03,24,优
83,20140325,2014,03,25,优
84,20140326,2014,03,26,优
85,20140327,2014,03,27,优
86,20140328,2014,03,28,优
87,20140329,2014,03,29,优
88,20140330,2014,03,30,优
89,20140331,2014,03,31,优
90,20140401,2014,04,01,优
91,20140402,2014,04,02,优
92,20140403,2014,04,03,优
93,20140404,2014,04,04,良
94,20140405,2014,04,05,良
95,20140406,2014,04,06,优
96,20140407,2014,04,07,优
97,20140408,2014,04,08,良
98,20140409,2014,04,09,优
99,20140410,2014,04,10,优
100,20140411,2014,04,11,优
101,20140412,2014,04,12,优
102,20140413,2014,04,13,优
103,20140414,2014,04,14,良
104,20140415,2014,04,15,优
105,20140416,2014,04,16,优
106,20140417,2014,04,17,优
107,20140418,2014,04,18,优
108,20140419,2014,04,19,优
109,20140420,2014,04,20,优
110,20140421,2014,04,21,优
111,20140422,2014,04,22,优
112,20140423,2014,04,23,优
113,20140424,2014,04,24,优
114,20140425,2014,04,25,优
115,20140426,2014,04,26,优
116,20140427,2014,04,27,优
117,20140428,2014,04,28,优
118,20140429,2014,04,29,良
119,20140430,2014,04,30,良
120,20140501,2014,05,01,良
121,20140502,2014,05,02,良
